Rank, Film, Director, Year, Role, Genre(s), Thoughts
1, Edward Scissorhands, Tim Burton, 1990, Edward (lead), "Fantasy, gothic, romance", "Unique, charming, original. Sometimes ingenious, sometimes emotional and undeniably profound acting performance from Depp."
2, What's Killing Gilbert Grape, Lasse Hallström, 1993, Gilbert Grape (lead), "Coming-of-age, drama", "A lovely and satisfying tale about a quiet town and a pitiful family. Spectacular acting performance from Depp and teen DiCaprio."
3, Donnie Brasco, Mike Newell, 1997, Joseph D. Pistone (lead), "Crime, drama", "Depp and Pacino delivers in this first-rate crime movie. Tells a happy and sad tale about family, duty and friendship. Gripping from start to finish. "
4, Ed Wood, 1994, Tim Burton, Ed Wood (lead), "Comedy, drama", 
5, Sweeney Todd: The Demon Barber of Fleet Street, Tim Burton, 2007, Sweeney Todd (lead), "Musical, thriller, slasher", "Beautiful, profound and tragic. With powerful story-telling and strong acting performances, Sweeney Todd will leave a lasting impression."
6, Charlie and the Chocolate Factory, Tim Burton, 2005, Willy Wonka (lead), "Musical, fantasy", 
7, Sleepy Hollow, Tim Burton, 1999, Ichabod Crane (lead), "Gothic, horror",
8, Finding Neverland, Marc Forster, 2004, J. M. Barrie (lead), "Biopic, fantasy",
9, Platoon, Oliver Stone, 1986, Gator Lerner (supporting), "War, action", "Unique, tragic and thought-provoking."
10, Benny & Joon, Jeremiah S. Chechik, 1993, Sam (lead), "Romantic comedy, drama",
11, Pirates of the Caribbean: The Curse of the Black Pearl, Gore Verbinski, 2003, Captain Jack Sparrow (lead), "Fantasy, adventure",
12, Don Juan DeMarco, Jeremy Leven, 1995, Don Juan DeMarco (lead), "Romantic comedy, drama",
13, A Nightmare on Elm Street, Wes Craven, 1984, Glen Lantz (supporting), "Horror, slasher",
14, Fear and Loathing in Las Vegas, Terry Gilliam, 1998, Raoul Duke (lead), "Black comedy, road, stoner",
15, Dead Man, Jim Jarmusch, 1995, William Blake (lead), "Western",
16, Minamata, Andrew Levitas, 2020, W. Eugene Smith (lead), "Biopic, drama",
17, Public Enemies, Michael Mann, 2009, John Dillinger (lead), "Biopic, crime, drama",
18, Arizona Dream, Emir Kusturica, 1993, Axel Blackmar (lead), "Indie, drama",
19, Cry-Baby, John Waters, 1990, Wade Walker (lead), "Musical, teen, romantic comedy",
20, From Hell, The Hughes Brothers, 2001, Inspector Frederick Abberline (lead), "Detective, horror",
21, Fantastic Beasts and Where to Find Them, David Yates, 2016, Gellert Grindelwald (cameo), "Fantasy",
22, Blow, Ted Demme, 2001, George Jung (lead), "Biopic, crime, drama",
23, Alice in Wonderland, Tim Burton, 2010, Hatter (supporting), "Fantasy, adventure",
24, The Ninth Gate, Roman Polanski, 1999, Dean Corso (lead), "Neo-noir, horror, thriller",
25, Chocolat, Lasse Hallström, 2000, Roux (supporting), "Romance",
26, Lucky Them, Megan Griffiths, 2013, Matthew Smith (cameo), "Comedy, drama",
27, The Rum Diary, Bruce Robinson, 2011, Paul Kemp (lead), "Comedy, drama",
28, Secret Window, David Koepp, 2004, Mort Rainey (lead), "Psychological thriller",
29, Fantastic Beasts: The Crimes of Grindelwald, David Yates, 2018, Gellert Grindelwald (cameo), "Fantasy",
30, The Libertine, Laurence Dunmore, 2005, John Wilmot (lead), "Comedy, drama",
31, Private Resort, Geeorge Bowers, 1985, Jack (lead), "Comedy",
32, The Man Who Cried, Sally Potter, 2000, Cesar (lead), "Romance, coming-of-age, war",
33, Nick of Time, John Badham, 1995, Gene Watson (lead), "Thriller, political",
34, The Professor, Wayne Roberts, 2018, Richard (lead), "Comedy, drama",
35, The Tourist, Florian Henckel von Donnersmarck, 2010, Alexander Pearce (lead), "Romantic thriller",
36, The Astronaut's Wife, Rand Ravich, 1999, Commander Spencer Armacost (lead), "Sci-fi, thriller",
37, Transcendence, Wally Pfister, 2014, Will Caster (lead), "Sci-fi, thriller",
