Manga/Anime, Year, Genre(s), Theme(s), Notes
Fullmetal Alchemist: Brotherhood, 2009, "Adventure, philosophical, steampunk", "Family, friendship, humanity", "While FMA is still a great anime, FMA:B is a massive improvement."
Steins;Gate, 2010, "Pyschological thriller, sci-fi, romance", "Time travel, causality, memory", "The sequel S;G 0 tries hard to live up to S;G but falls short in almost all respects."
Cowboy Bebop, 1998, "Western, neo-noir, space sci-fi", "Existential boredom, loneliness, inability to escape one's past", "The English dub considerably beats the sub."
Attack on Titan -Shingeki no Kyojin-, 2013, "Action, dark fantasy", "Survival, freedom, existentialism",
Made in Abyss, 2017, "Adventure, fantasy", "Humanity, greed, goals",
Demon Slayer: Kimetsu no Yaiba, 2019, "Action, adventure, dark fantasy", "Loss, hope, perseverance", The quality begins to deteriorate in the later seasons.
Monster, 2004, "Psychological thriller, suspense", "Morality, good and evil, power",
Violet Evergarden, 2018, "War, drama", "Letters, grief, loss of loved ones, self-discovery",
Death Note, 2006, "Psychological thriller, mystery, suspense", "Criminality, morality, consequences of absolute power", 
Dragon Ball/Dragon Ball Z, 1986, "Action, advenure, comedy", "Martial arts, redemption, perseverance","The sequel DBS falls short considerably"
Naruto/Naruto Shippuden, 2002, "Action, adventure", "Martial arts, friendship, perseverance", "Pay no attention to Boruto"
Spy x Family, 2022, "Comedy, spy", "Childcare, family",
The Promised Neverland, 2019, "Thriller, dark fantasy", "Survival, freedom", "Kudos to the first season only!"
Parasyte: The Maxim, 2014, "Sci-fi, philosophical", "Humanity, companionship",
Chainsaw Man, 2022, "Action, dark fantasy, comedy", "Revenge, trauma",
Erased -Boku dake ga Inai Machi-, 2016, "Thriller, suspense, mystery", "Time travel",
Your Lie in April, 2014, "Music, romance", "Love, music, school",
Bleach, 2004, "Action, adventure", "Friendship, perseverance", "Has lots of low-quality fillers otherwise, a great anime. Check out the sequel."
Heaven Official's Blessing, 2020, "Romance, mythology", "Boy's love",
Tokyo Revengers, 2021, "Gangster, crime", "Delinquents, time travel",
