The Brothers Karamazov, Fyodor Dostoevsky, 1880, "Philosophical fiction, murder-mystery, courtroom drama"
Crime and Punishment, Fyodor Dostoevsky, 1866, "Philosophical fiction, psychological, crime"
Anna Karenina, Leo Tolstoy, 1878, "Literary realism"
The Count of Monte Cristo, Alexandre Dumas, 1844, "Adventure, historical fiction"
Divine Comedy, Dante Alighieri, 1321, "Epic poetry, narrative poem"
Catch-22, Joseph Heller, 1961, "Satire, war, dark humor, absurdist"
Odyssey, Homer, 1614, "Epic poetry, narrative poem, adventure"
The Stranger, Albert Camus, 1942, "Philosophical, absurdist"
Nineteen Eighty-Four, George Orwell, 1949, "Dystopian, political"
Adventures of Huckleberry Finn, Mark Twain, 1884, "Bildungsroman, robinsonade, picaresque"
The Catcher in the Rye, J. D. Salinger, 1951, "Bildungsroman, coming-of-age, literary realism"
Iliad, Homer, 1488, "Epic poetry, narrative poem, war"
The Old Man and the Sea, Ernest Hemingway, 1952
Jane Eyre, Charlotte Brontë, 1847, "Bildungsroman, coming-of-age, romance"
The Portrait of the Artist as a Young Man, James Joyce, 1916, "Bildungsroman, literary modernism"
Notes from Underground, Fyodor Dostoevsky, 1864, "Philosophical, existential"
To Kill a Mockingbird, Harper Lee, 1960, "Bildungsroman, Southern gothic"
Slaughterhouse-Five, Kurt Vonnegut, 1969, "Satire, war, dark humor, metafiction"
Lord of the Flies, William Golding, 1954, "Allegory, pyschological"
David Copperfield, Charles Dickens, 1850, "Bildungsroman, coming-of-age, semi-autobiographical"
The Lord of the Rings, J. R. R. Tolkien, 1954, "Fantasy, adventure"
Animal Farm, George Orwell, 1945, "Allegory, satire, beast fable"
The Great Gatsby, F. Scott Fitzgerald, 1925, "Tragedy, realism, modernism"
The Prophet, Kahlil Gibran, 1923, "Life, human condition"
Metamorphosis, Franz Kafka, 1915, "Absurdist, tradegy"
The Adventures of Sherlock Holmes, Arthur Conan Doyle, 1892, "Detective, mystery"
Alice's Adventures in Wonderland, Lewis Caroll, 1865, "Literary nonsense, fantasy"
The Godfather, Mario Puzo, 1969, "Thriller, crime, mystery"
Anthem, Ayn Rand, 1938, "Dystopian, psychological"
Norwegian Wood, Haruki Murakami, 1987, "Romance, coming-of-age"
The Return of Sherlock Holmes, Arthur Conan Doyle, 1905, "Detective, mystery"
A Christmas Carol, Charles Dickens, 1943, "Fantasy, ghost story"
The Hobbit, J. R. R. Tolkien, 1937, "Fantasy, adventure"
Love Story, Eric Segal, 1970, "Romance"
