Rank, Film, Director, Year, Role, Genre(s)
1, Edward Scissorhands, Tim Burton, 1990, Edward (lead), "Fantasy, gothic, romance"
2, What's Killing Gilbert Grape, Lasse Hallström, 1993, Gilbert Grape (lead), "Coming-of-age, drama"
3, Donnie Brasco, Mike Newell, 1997, Joseph D. Pistone (lead), "Crime, drama"
4, Sleepy Hollow, Tim Burton, 1999, Ichabod Crane (lead), "Gothic, horror"
5, Charlie and the Chocolate Factory, Tim Burton, 2005, Willy Wonka (lead), "Musical, fantasy"
6, Sweeney Todd: The Demon Barber of Fleet Street, Tim Burton, 2007, Sweeney Todd (lead), "Musical, slasher"
7, Benny & Joon, Jeremiah S. Chechik, 1993, Sam (lead), "Romantic comedy, drama"
8, Finding Neverland, Marc Forster, 2004, J. M. Barrie (lead), "Biopic, fantasy"
9, Pirates of the Caribbean: The Curse of the Black Pearl, Gore Verbinski, 2003, Captain Jack Sparrow (lead), "Fantasy, adventure"
10, Don Juan DeMarco, Jeremy Leven, 1995, Don Juan DeMarco (lead), "Romantic comedy, drama"
11, Dead Man, Jim Jarmusch, 1995, William Blake (lead), "Western"
12, A Nightmare on Elm Street, Wes Craven, 1984, Glen Lantz (supporting), "Horror, slasher"
13, Public Enemies, Michael Mann, 2009, John Dillinger (lead), "Biopic, crime, drama"
14, Arizona Dream, Emir Kusturica, 1993, Axel Blackmar (lead), "Indie, drama"
15, Cry-Baby, John Waters, 1990, Wade Walker (lead), "Musical, teen, romantic comedy"
16, From Hell, the Hughes Brothers, 2001, Inspector Frederick Abberline (lead), "Detective, horror"
17, Blow, Ted Demme, 2001, George Jung (lead), "Biopic, crime, drama"
18, The Ninth Gate, Roman Polanski, 1999, Dean Corso (lead), "Neo-noir, horror, thriller"
19, Chocolat, Lasse Hallström, 2000, Roux (supporting), "Romance"
20, Secret Window, David Koepp, 2004, Mort Rainey (lead), "Psychological thriller"
21, The Professor, Wayne Roberts, 2018, Richard (lead), "Comedy, drama"
22, The Tourist, Florian Henckel von Donnersmarck, 2010, Alexander Pearce (lead), "Romantic thriller"
23, Nick of Time, John Badham, 1995, Gene Watson (lead), "Thriller, political"
24, The Astronaut's Wife, Rand Ravich, 1999, Commander Spencer Armacost (lead), "Sci-fi, thriller"
25, Transcendence, Wally Pfister, 2014, Will Caster (lead), "Sci-fi, thriller"
